city_id,city_name,state,station_id,station_name,sensor_id,timestamp_utc,pm25,coverage_percent,data_source
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-28 02:30:00+00:00,19.6,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-28 03:30:00+00:00,10.7,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-28 04:30:00+00:00,9.1,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-28 05:30:00+00:00,13.4,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-28 06:30:00+00:00,10.9,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-28 07:30:00+00:00,8.7,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-28 08:30:00+00:00,7.8,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-28 09:30:00+00:00,5.7,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-28 10:30:00+00:00,6.3,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-28 11:30:00+00:00,11.2,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-28 12:30:00+00:00,9.2,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-28 13:30:00+00:00,9.4,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-28 14:30:00+00:00,12.2,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-28 15:30:00+00:00,10.9,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-28 16:30:00+00:00,14.0,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-28 17:30:00+00:00,12.0,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-28 18:30:00+00:00,9.8,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-28 19:30:00+00:00,10.2,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-28 20:30:00+00:00,8.7,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-28 21:30:00+00:00,11.9,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-28 22:30:00+00:00,12.7,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-28 23:30:00+00:00,13.4,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-29 00:30:00+00:00,12.2,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-29 01:30:00+00:00,21.6,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-29 02:30:00+00:00,30.8,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-29 03:30:00+00:00,19.4,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-29 04:30:00+00:00,16.3,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-29 05:30:00+00:00,14.0,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-29 06:30:00+00:00,13.5,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-29 07:30:00+00:00,15.4,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-29 08:30:00+00:00,17.5,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-29 09:30:00+00:00,12.6,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-29 10:30:00+00:00,5.3,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-29 11:30:00+00:00,8.9,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-29 12:30:00+00:00,36.5,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-29 13:30:00+00:00,19.0,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-29 14:30:00+00:00,24.0,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-29 15:30:00+00:00,23.3,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-29 16:30:00+00:00,18.0,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-29 17:30:00+00:00,13.2,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-29 18:30:00+00:00,12.7,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-29 19:30:00+00:00,16.5,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-29 20:30:00+00:00,17.0,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-29 21:30:00+00:00,15.4,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-29 22:30:00+00:00,15.5,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-29 23:30:00+00:00,15.6,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-30 00:30:00+00:00,18.5,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-30 01:30:00+00:00,22.0,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-30 02:30:00+00:00,27.1,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-30 03:30:00+00:00,22.5,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-30 04:30:00+00:00,32.1,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-30 05:30:00+00:00,17.0,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-30 06:30:00+00:00,11.0,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-30 07:30:00+00:00,14.8,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-30 08:30:00+00:00,8.4,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-30 09:30:00+00:00,7.0,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-30 10:30:00+00:00,7.8,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-30 11:30:00+00:00,8.1,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-30 12:30:00+00:00,10.4,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-30 13:30:00+00:00,14.6,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-30 14:30:00+00:00,12.8,100.0,OpenAQ verified hourly measurement
BLR,Bengaluru,Karnataka,6206921,Koramangala,15203555,2026-07-30 15:30:00+00:00,10.1,100.0,OpenAQ verified hourly measurement
