country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value,source_system,source_agency,source_url,collected_at_utc,quality_flag,regulatory_use,historical_limit
India,Andhra Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",26-08-2026 23:00:00,16.316553,80.413302,PM2.5,39,62,48,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Andhra Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",26-08-2026 23:00:00,14.465052,78.824187,CO,16,26,21,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Andhra Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",26-08-2026 23:00:00,16.186555,81.13219,PM2.5,49,67,57,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Andhra Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ",26-08-2026 23:00:00,14.438164,79.966814,SO2,10,19,14,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",26-08-2026 23:00:00,16.9872867,81.7363176,NO2,4,19,8,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Andhra Pradesh,Srikakulam,"Chinna Bharatham Colony, Srikakulam - APPCB",26-08-2026 23:00:00,18.292191,83.897173,NO2,17,49,31,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Andhra Pradesh,Srikakulam,"Chinna Bharatham Colony, Srikakulam - APPCB",26-08-2026 23:00:00,18.292191,83.897173,SO2,13,21,15,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Andhra Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",26-08-2026 23:00:00,13.67,79.35,NO2,19,60,41,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Andhra Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",26-08-2026 23:00:00,13.615387,79.40923,NO2,24,35,27,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Andhra Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",26-08-2026 23:00:00,13.615387,79.40923,SO2,12,23,18,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Andhra Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",26-08-2026 23:00:00,16.536107,80.594233,PM10,48,63,56,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Andhra Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",26-08-2026 23:00:00,16.536107,80.594233,NO2,15,28,19,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Andhra Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",26-08-2026 23:00:00,16.536107,80.594233,CO,28,32,29,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Andhra Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",26-08-2026 23:00:00,16.509717,80.612222,CO,25,32,29,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",26-08-2026 23:00:00,17.72,83.3,NO2,31,117,65,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",26-08-2026 23:00:00,17.72,83.3,SO2,4,45,12,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",26-08-2026 23:00:00,25.251013,86.989001,SO2,13,33,24,CPCB real-time AQI via data.gov.in,Central Pollution Control Board,https://www.data.gov.in/catalog/real-time-air-quality-index,2026-08-26T18:21:06.554382+00:00,official-source realtime snapshot; field-instrument values require QA,source-published snapshot only; AirSentinel does not certify or alter it,This endpoint is not a 180-day archive. Repeated scheduled snapshots or an approved historical export are required.
